# data/stock.csv — fuente única de stock. Editá y corré `pnpm stock:sync`.
# Una fila por SKU vendible. variant vacío para productos sin variantes; con valor indica variación relacionada.
productId,stock,variant
biodance-bio-collagen-mask,3,
biodance-caviar-eye-patch,1,
carmex-lip-balm-medicated,3,
carmex-lip-balm-spf15,2,classic
carmex-lip-balm-spf15,1,strawberry
carmex-lip-balm-spf15,1,wintergreen
charlottes-magic-water-cream,1,
dior-backstage-glow-maximizer,1,
elf-flawless-face-eye-brush-set,1,
elf-halo-glow-liquid-filter,1,tono-05-fair
elf-halo-glow-liquid-filter,1,tono-2-fair-light
elf-halo-glow-liquid-filter,1,tono-35-medium
elf-matte-magic-mist-set,1,
espejo-arco-escritorio,1,amarillo
espejo-arco-escritorio,2,blanco
espejo-arco-escritorio,4,rosa
fenty-beauty-gloss-bomb,1,
fenty-beauty-gloss-bomb-oil-miss-jellyfish,1,
gisou-honey-lip-oil,1,coco-cacao
gisou-honey-lip-oil,1,watermelon-sugar
got2b-glued-gel,4,
huda-beauty-icy-nude-palette,1,
huda-beauty-mini-easy-bake-powder,1,banana-bread
huda-beauty-mini-easy-bake-powder,1,cherry-blossom
laura-mercier-setting-powder,1,
limpiador-silicona-brochas,1,fucsia
limpiador-silicona-brochas,1,verde-agua
loreal-infallible-3second-setting-mist,2,
makeup-bymario-mini-softsculpt-stick,1,
natasha-denona-mini-rose-palette,1,
nyx-fat-cheeks-blush,1,guava-gush
nyx-fat-cheeks-blush,1,peach-plunge
one-size-on-til-dawn-setting-spray,1,
organizador-acrilico-bambu,1,
organizador-cosmeticos-acrilico,2,
patrick-ta-blush-duo,1,she-goes-to-the-gym
patrick-ta-blush-duo,1,shes-that-girl
patrick-ta-contour-bronzer-duo,1,
porta-algodon-acrilico-bambu,2,
rare-beauty-brow-harmony-gel,1,
rare-beauty-highlighter-exhilarate,1,
rare-beauty-mini-blush-happy,1,
rare-beauty-soft-pinch-matte-bouncy-blush,1,
real-techniques-everything-blending-duo,1,
real-techniques-matte-moment-blending-set,1,
rhode-peptide-eye-patches,1,
rhode-peptide-lip-tint,2,espresso
rhode-peptide-lip-tint,2,pbj
rhode-peptide-lip-tint,2,raspberry-jelly
rhode-peptide-lip-tint,2,ribbon
rhode-peptide-lip-tint,1,toast
tarte-tartelette-palette,1,
vaseline-sunlit-glow-gel-oil,2,
